REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-10-26 13:58:21

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,1280,,UAD Tube-Tech ME 1B (Universal Audio /  Inc.) (mono),UAD_Tube_Tech_ME_1B_m_.vst
,1281,,UAD Tube-Tech PE 1C (Universal Audio /  Inc.),UAD_Tube_Tech_PE_1C.vst
,1282,,UAD Tube-Tech PE 1C (Universal Audio /  Inc.) (mono),UAD_Tube_Tech_PE_1C_m_.vst
,1283,,UAD UA 1176 Rev A (Universal Audio /  Inc.),UAD_UA_1176_Rev_A.vst
,1284,,UAD UA 1176 Rev A (Universal Audio /  Inc.) (mono),UAD_UA_1176_Rev_A_m_.vst
,1285,,UAD UA 1176AE (Universal Audio /  Inc.),UAD_UA_1176AE.vst
,1286,,UAD UA 1176AE (Universal Audio /  Inc.) (mono),UAD_UA_1176AE_m_.vst
,1287,,UAD UA 1176LN Legacy (Universal Audio /  Inc.),UAD_UA_1176LN_Legacy.vst
,1288,,UAD UA 1176LN Legacy (Universal Audio /  Inc.) (mono),UAD_UA_1176LN_Legacy_m_.vst
,1289,,UAD UA 1176LN Rev E (Universal Audio /  Inc.),UAD_UA_1176LN_Rev_E.vst
,1290,,UAD UA 1176LN Rev E (Universal Audio /  Inc.) (mono),UAD_UA_1176LN_Rev_E_m_.vst
,1291,,UAD UA 1176SE Legacy (Universal Audio /  Inc.),UAD_UA_1176SE_Legacy.vst
,1292,,UAD UA 1176SE Legacy (Universal Audio /  Inc.) (mono),UAD_UA_1176SE_Legacy_m_.vst
,1293,,UAD UA 610-A (Universal Audio /  Inc.),UAD_UA_610_A.vst
,1294,,UAD UA 610-A (Universal Audio /  Inc.) (mono),UAD_UA_610_A_m_.vst
,1295,,UAD UA 610-B (Universal Audio /  Inc.),UAD_UA_610_B.vst
,1296,,UAD UA 610-B (Universal Audio /  Inc.) (mono),UAD_UA_610_B_m_.vst
,1297,,UAD Valley People Dyna-mite (Universal Audio /  Inc.),UAD_Valley_People_Dyna_mite.vst
,1298,,UAD Valley People Dyna-mite (Universal Audio /  Inc.) (mono),UAD_Valley_People_Dyna_mite_m_.vst
,1299,,UAD Vertigo VSC-2 (Universal Audio /  Inc.),UAD_Vertigo_VSC_2.vst
,1300,,UAD Vertigo VSC-2 (Universal Audio /  Inc.) (mono),UAD_Vertigo_VSC_2_m_.vst
,1301,,UAD Vertigo VSM-3 (Universal Audio /  Inc.),UAD_Vertigo_VSM_3.vst
,1302,,UAD Vertigo VSM-3 (Universal Audio /  Inc.) (mono),UAD_Vertigo_VSM_3_m_.vst
,1303,,UltraChannel (Eventide),UltraChannel.vst
,1304,,UNFILTER (Zynaptiq),UNFILTER_VST.vst
,1305,,UNFILTER 8ch (Zynaptiq) (8ch),UNFILTER_VST_8ch.vst
,1306,Instr.,UVIWorkstation (UVI) (34 out)!!!VSTi,UVIWorkstationVST.vst
,1307,,ValhallaSupermassive (Valhalla DSP /  LLC),ValhallaSupermassive.vst
,1308,,ValhallaSupermassive (Valhalla DSP /  LLC),ValhallaSupermassive.vst3
,1309,,Vari Comp (Native Instruments GmbH),Vari_Comp.vst
,1310,,Vari Comp (Native Instruments),Vari_Comp.vst3
,1311,,IRCAM Tools - Verb Studio Session v3 (Flux:: - IRCAM),VerbSessionV3_x64.vst
,1312,,IRCAM Tools - Verb Studio Session v3 (x86) (Flux:: - IRCAM),VerbSessionV3_x86.vst
,1313,,IRCAM Tools - Verb v3 (Flux:: - IRCAM) (8ch),VerbV3_x64.vst
,1314,,IRCAM Tools - Verb v3 (x86) (Flux:: - IRCAM) (8ch),VerbV3_x86.vst
,1315,Instr.,Vienna Ensemble Pro (VSL) (32 out)!!!VSTi,Vienna_Ensemble_Pro.vst
,1316,Instr.,Vienna Ensemble Pro (VSL) (32 out)!!!VSTi,Vienna_Ensemble_Pro.vst3
,1317,,Vienna Ensemble Pro Audio Input (VSL),Vienna_Ensemble_Pro_Audio_Input.vst
,1318,,Vienna Ensemble Pro Audio Input (VSL),Vienna_Ensemble_Pro_Audio_Input.vst3
,1319,Instr.,Vienna Ensemble Pro Event Input (VSL)!!!VSTi,Vienna_Ensemble_Pro_Event_Input.vst
,1320,Instr.,Vienna Ensemble Pro Event Input (VSL)!!!VSTi,Vienna_Ensemble_Pro_Event_Input.vst3
,1321,Instr.,Vienna Ensemble Pro Surround (VSL) (32 out)!!!VSTi,Vienna_Ensemble_Pro_Surround.vst
,1322,Instr.,Vienna Ensemble Pro Surround (VSL) (32 out)!!!VSTi,Vienna_Ensemble_Pro_Surround.vst3
,1323,,iZotope Vinyl (iZotope /  Inc.),Vinyl.vst
,1324,,iZotope Vinyl (iZotope /  Inc.),Vinyl.vst3
,1325,,VocalSynth 2 (iZotope /  Inc.),VocalSynth_2.vst
,1326,,VocalSynth 2 (iZotope /  Inc.),VocalSynth_2.vst3
,1327,,Visual Virtual Mic (x86) (VVAudio) (4->8ch),VVMicVst.vst
,1328,Instr.,Waverazor (MOK)!!!VSTi,Waverazor.vst
,1329,Instr.,Waverazor (MOK)!!!VSTi,Waverazor.vst3
,1330,,Waverazor FX (MOK),WaverazorFX.vst
,1331,,Waverazor FX (MOK),WaverazorFX.vst3
,1332,,<SHELL>,WaveShell1_VST3_14.0.vst3
,1333,,LoAir Stereo (Waves),WaveShell1_VST3_14.0.vst3<1014857828
,1334,,LoAir 5.0/5.1 (Waves) (5->6ch),WaveShell1_VST3_14.0.vst3<1963956404
,1335,,LoAir 5.1 (Waves) (6ch),WaveShell1_VST3_14.0.vst3<675883923
,1336,,LoAir Mono (Waves),WaveShell1_VST3_14.0.vst3<809005674
,1337,,<SHELL>,WaveShell1_VST_14.0.vst
,1338,,LoAir 5.1 (Waves),WaveShell1_VST_14.0.vst<1280262454
,1339,,LoAir 5.0/5.1 (Waves),WaveShell1_VST_14.0.vst<1280262466
,1340,,LoAir Mono (Waves),WaveShell1_VST_14.0.vst<1280262477
,1341,,LoAir Stereo (Waves),WaveShell1_VST_14.0.vst<1280262483
,1342,,<SHELL>,WaveShell_VST_9.0.vst
,1343,,<SHELL>,WaveShell_VST_9.0.vst3
,1344,,LoAir Stereo (Waves),WaveShell_VST_9.0.vst3<1014857828
,1345,,C6 Stereo (Waves),WaveShell_VST_9.0.vst3<1016495808
,1346,,CLA Guitars Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1027264538
,1347,,H-Comp Stereo (Waves),WaveShell_VST_9.0.vst3<103137592
,1348,,SoundShifter Graphic Stereo (Waves),WaveShell_VST_9.0.vst3<1034025046
,1349,,GTR Tool Rack Stereo (Waves),WaveShell_VST_9.0.vst3<1036520602
,1350,,WLM Meter 5.0 (Waves) (5ch),WaveShell_VST_9.0.vst3<1039385568
,1351,,TransX Wide Stereo (Waves),WaveShell_VST_9.0.vst3<1045290888
,1352,,UM225 Stereo/5.0 (Waves) (2->5ch),WaveShell_VST_9.0.vst3<1050749976
,1353,,Q3 Mono (Waves),WaveShell_VST_9.0.vst3<1055576991
,1354,,CLA-2A Mono (Waves),WaveShell_VST_9.0.vst3<1072405404
,1355,,CLA Unplugged Stereo (Waves),WaveShell_VST_9.0.vst3<1077422097
,1356,,OneKnob Louder Mono (Waves),WaveShell_VST_9.0.vst3<1080082567
,1357,,MV2 Stereo (Waves),WaveShell_VST_9.0.vst3<1091050614
,1358,,CLA-3A Stereo (Waves),WaveShell_VST_9.0.vst3<1091448427
,1359,,L2 Stereo (Waves),WaveShell_VST_9.0.vst3<1099428668
,1360,,JJP-Vocals Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1101262324
,1361,,LinEQ Lowband Stereo (Waves),WaveShell_VST_9.0.vst3<110902366
,1362,,Q-Clone Mono (Waves),WaveShell_VST_9.0.vst3<1115790196
,1363,,R360 5.0 (Waves) (5ch),WaveShell_VST_9.0.vst3<11168803
,1364,,Q2 Mono (Waves),WaveShell_VST_9.0.vst3<1117922111
,1365,,MondoMod Stereo (Waves),WaveShell_VST_9.0.vst3<1121285408
,1366,,SSLChannel Stereo (Waves),WaveShell_VST_9.0.vst3<1147844006
,1367,,Maserati GTi Stereo (Waves),WaveShell_VST_9.0.vst3<1150279251
,1368,,MV2 Mono (Waves),WaveShell_VST_9.0.vst3<1155363778
,1369,,X-Hum Stereo (Waves),WaveShell_VST_9.0.vst3<115830721
,1370,,IDR Stereo (Waves),WaveShell_VST_9.0.vst3<1165602930
,1371,,OneKnob Driver Mono (Waves),WaveShell_VST_9.0.vst3<1167483735
,1372,,X-Click Stereo (Waves),WaveShell_VST_9.0.vst3<1169156380
,1373,,SuperTap 2-Taps Mono (Waves),WaveShell_VST_9.0.vst3<1169434002
,1374,,VComp Mono (Waves),WaveShell_VST_9.0.vst3<1169783127
,1375,,S1 Imager Stereo (Waves),WaveShell_VST_9.0.vst3<1173933
,1376,,EKramer VC Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<117410589
,1377,,OneKnob Pressure Mono (Waves),WaveShell_VST_9.0.vst3<117800040
,1378,,RVerb Stereo (Waves),WaveShell_VST_9.0.vst3<1184593490
,1379,,Aphex Vintage Exciter Mono (Waves),WaveShell_VST_9.0.vst3<1189814795
,1380,,InPhase Stereo (Waves),WaveShell_VST_9.0.vst3<1193190106
,1381,,C1 gate Mono (Waves),WaveShell_VST_9.0.vst3<1198157949
,1382,,JJP-Bass Stereo (Waves),WaveShell_VST_9.0.vst3<1202793545
,1383,,PuigChild 670 Stereo (Waves),WaveShell_VST_9.0.vst3<1210525509
,1384,,Q6 Stereo (Waves),WaveShell_VST_9.0.vst3<1215125850
,1385,,Q6 Mono (Waves),WaveShell_VST_9.0.vst3<1228972855
,1386,,SSLComp Stereo (Waves),WaveShell_VST_9.0.vst3<1235610411
,1387,,C1 comp Stereo (Waves),WaveShell_VST_9.0.vst3<123829597
,1388,,L360 5.1 (Waves) (6ch),WaveShell_VST_9.0.vst3<1241897557
,1389,,PAZ- Position Stereo (Waves),WaveShell_VST_9.0.vst3<1265152014
,1390,,Morphoder Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1268192860
,1391,,SoundShifter Pitch Stereo (Waves),WaveShell_VST_9.0.vst3<1279090635
,1392,,Q4 Mono (Waves),WaveShell_VST_9.0.vst3<1280410319
,1393,,Morphoder Mono (Waves),WaveShell_VST_9.0.vst3<1281060447
,1394,,CLA Drums Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1282671388
,1395,,OneKnob Pressure Stereo (Waves),WaveShell_VST_9.0.vst3<1283761762
,1396,,OneKnob Filter Stereo (Waves),WaveShell_VST_9.0.vst3<1283989964
,1397,,MaxxBass Stereo (Waves),WaveShell_VST_9.0.vst3<1287589015
,1398,,RChannel Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1287731291
,1399,,WavesTune Mono (Waves),WaveShell_VST_9.0.vst3<1293163284
,1400,,LinMB Mono (Waves),WaveShell_VST_9.0.vst3<1299536209
,1401,,CLA-76 Mono (Waves),WaveShell_VST_9.0.vst3<1303613859
,1402,,MaxxVolume Stereo (Waves),WaveShell_VST_9.0.vst3<1305855985
,1403,,API-550A Mono (Waves),WaveShell_VST_9.0.vst3<1306714592
,1404,,S1 Shuffler Stereo (Waves),WaveShell_VST_9.0.vst3<1309921396
,1405,,JJP-Cymb-Perc Stereo (Waves),WaveShell_VST_9.0.vst3<1316502820
,1406,,IR360 sound field Mono/5.0 (Waves) (1->5ch),WaveShell_VST_9.0.vst3<1319192538
,1407,,JJP-Bass Mono (Waves),WaveShell_VST_9.0.vst3<1321909123
,1408,,InPhase LT Live Mono (Waves),WaveShell_VST_9.0.vst3<1322633521
,1409,,Maserati HMX Stereo (Waves),WaveShell_VST_9.0.vst3<1324793209
,1410,,M360 Manager 5.1 (Waves) (6ch),WaveShell_VST_9.0.vst3<1325436752
,1411,,C1 comp-gate Stereo (Waves),WaveShell_VST_9.0.vst3<1327027067
,1412,,LinMB Stereo (Waves),WaveShell_VST_9.0.vst3<1331471451
,1413,,EKramer FX Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1336638589
,1414,,PuigTec MEQ5 Mono (Waves),WaveShell_VST_9.0.vst3<1345434267
,1415,,C1 comp Mono (Waves),WaveShell_VST_9.0.vst3<1346150377
,1416,,NLS Buss Stereo (Waves),WaveShell_VST_9.0.vst3<1351333904
,1417,,GTR Stomp 4 Mono (Waves),WaveShell_VST_9.0.vst3<1351630809
,1418,,R360 5.1 (Waves) (6ch),WaveShell_VST_9.0.vst3<1352712403
,1419,,TrueVerb Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1358022952
,1420,,TransX Multi Stereo (Waves),WaveShell_VST_9.0.vst3<1359148241
,1421,,R360 Stereo/5.0 (Waves) (2->5ch),WaveShell_VST_9.0.vst3<1365699371
,1422,,X-Hum Mono (Waves),WaveShell_VST_9.0.vst3<1365782231
,1423,,PuigTec EQP1A Mono (Waves),WaveShell_VST_9.0.vst3<1369518659
,1424,,Q-Clone Stereo (Waves),WaveShell_VST_9.0.vst3<1394627712
,1425,,PAZ- Meters Stereo (Waves),WaveShell_VST_9.0.vst3<1397753942
,1426,,Q10 Mono (Waves),WaveShell_VST_9.0.vst3<1397830709
,1427,,InPhase LT Mono (Waves),WaveShell_VST_9.0.vst3<1405918146
,1428,,JJP-Strings-Keys Stereo (Waves),WaveShell_VST_9.0.vst3<141645573
,1429,,CLA-76 Stereo (Waves),WaveShell_VST_9.0.vst3<1424951490
,1430,,UM226 Stereo/5.1 (Waves) (2->6ch),WaveShell_VST_9.0.vst3<1435388406
,1431,,Doubler4 Mono (Waves),WaveShell_VST_9.0.vst3<1440032141
,1432,,GTR Stomp 4 Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1449639302
,1433,,CLA Effects Stereo (Waves),WaveShell_VST_9.0.vst3<1455094664
,1434,,W43 Stereo (Waves),WaveShell_VST_9.0.vst3<1460377200
,1435,,PAZ- Analyzer Stereo (Waves),WaveShell_VST_9.0.vst3<1462399732
,1436,,UltraPitch 3 Voices Mono (Waves),WaveShell_VST_9.0.vst3<1464521613
,1437,,TrueVerb Stereo (Waves),WaveShell_VST_9.0.vst3<1470583064
,1438,,H-Delay Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<147561447
,1439,,IR360 sound field 5.1 (Waves) (6ch),WaveShell_VST_9.0.vst3<1477434295
,1440,,MondoMod Mono (Waves),WaveShell_VST_9.0.vst3<1477838186
,1441,,Maserati GRP Mono (Waves),WaveShell_VST_9.0.vst3<1483424552
,1442,,TrueVerb Mono (Waves),WaveShell_VST_9.0.vst3<1506250793
,1443,,REQ 6 Stereo (Waves),WaveShell_VST_9.0.vst3<1513243202
,1444,,API-550B Mono (Waves),WaveShell_VST_9.0.vst3<1514843568
,1445,,REQ 4 Mono (Waves),WaveShell_VST_9.0.vst3<1516130508
,1446,,JJP-Drums Stereo (Waves),WaveShell_VST_9.0.vst3<1517108099
,1447,,IR360 sound field 5.0 (Waves) (5ch),WaveShell_VST_9.0.vst3<1519697062
,1448,,JJP-Guitars Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1533202980
,1449,,Q-Capture Mono (Waves),WaveShell_VST_9.0.vst3<1540603153
,1450,,UltraPitch 6 Voices Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1543713967
,1451,,DeEsser Stereo (Waves),WaveShell_VST_9.0.vst3<1549465959
,1452,,L360 5.0 (Waves) (5ch),WaveShell_VST_9.0.vst3<1553360369
,1453,,LinEQ Lowband Mono (Waves),WaveShell_VST_9.0.vst3<1557909248
,1454,,L3 UltraMaximizer Mono (Waves),WaveShell_VST_9.0.vst3<1561968699
,1455,,Doubler2 Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1567052858
,1456,,GTR Stomp 2 Mono (Waves),WaveShell_VST_9.0.vst3<1567459815
,1457,,The Kings Microphones Mono (Waves),WaveShell_VST_9.0.vst3<1572695352
,1458,,C6-SideChain Mono (Waves),WaveShell_VST_9.0.vst3<157391583
,1459,,SSLComp Mono (Waves),WaveShell_VST_9.0.vst3<1576142159
,1460,,GTR Stomp 4 Stereo (Waves),WaveShell_VST_9.0.vst3<1582781123
,1461,,IR-L Mono (Waves),WaveShell_VST_9.0.vst3<1588611046
,1462,,GTR Stomp 2 Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1594086796
,1463,,M360 Mixdown 5.1 (Waves) (6ch),WaveShell_VST_9.0.vst3<1607700755
,1464,,Q2 Stereo (Waves),WaveShell_VST_9.0.vst3<1610315674
,1465,,IR360 eff discrete 5.1 (Waves) (6ch),WaveShell_VST_9.0.vst3<1612923069
,1466,,L1 limiter Stereo (Waves),WaveShell_VST_9.0.vst3<161582714
,1467,,IR360 eff s.field Stereo/5.0 (Waves) (2->5ch),WaveShell_VST_9.0.vst3<1624143059
,1468,,SSLGChannel Mono (Waves),WaveShell_VST_9.0.vst3<1626098235
,1469,,NLS Channel Stereo (Waves),WaveShell_VST_9.0.vst3<1632766725
,1470,,H-EQ Stereo (Waves),WaveShell_VST_9.0.vst3<1636169028
,1471,,IR1 efficient Stereo (Waves),WaveShell_VST_9.0.vst3<1640344414
,1472,,RBass Stereo (Waves),WaveShell_VST_9.0.vst3<1648198320
,1473,,L316 Stereo (Waves),WaveShell_VST_9.0.vst3<1652756835
,1474,,Z-Noise Mono (Waves),WaveShell_VST_9.0.vst3<1653960071
,1475,,VEQ4 Mono (Waves),WaveShell_VST_9.0.vst3<1663201792
,1476,,Q8 Mono (Waves),WaveShell_VST_9.0.vst3<1664450711
,1477,,Kramer Tape Mono (Waves),WaveShell_VST_9.0.vst3<1666600221
,1478,,API-2500 Mono (Waves),WaveShell_VST_9.0.vst3<1666834973
,1479,,S360 Panner Stereo/5.1 (Waves) (2->6ch),WaveShell_VST_9.0.vst3<1674816968
,1480,,VComp Stereo (Waves),WaveShell_VST_9.0.vst3<1677787201
,1481,,S360 Imager 5.1 (Waves) (6ch),WaveShell_VST_9.0.vst3<168173314
,1482,,API-2500 Stereo (Waves),WaveShell_VST_9.0.vst3<1684519779
,1483,,API-550B Stereo (Waves),WaveShell_VST_9.0.vst3<1694971170
,1484,,H-Delay Stereo (Waves),WaveShell_VST_9.0.vst3<1707610720
,1485,,TransX Wide Mono (Waves),WaveShell_VST_9.0.vst3<1710098774
,1486,,L3 MultiMaximizer Mono (Waves),WaveShell_VST_9.0.vst3<1711222897
,1487,,CLA Effects Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1718429525
,1488,,CLA Vocals Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1744824135
,1489,,OneKnob Phatter Mono (Waves),WaveShell_VST_9.0.vst3<1744920010
,1490,,C1 comp-sc Mono (Waves),WaveShell_VST_9.0.vst3<174743757
,1491,,IR360 eff discrete 5.0 (Waves) (5ch),WaveShell_VST_9.0.vst3<1747928624
,1492,,S360 Imager Mono/5.1 (Waves) (1->6ch),WaveShell_VST_9.0.vst3<1750429989
,1493,,IDR360 5.0 (Waves) (5ch),WaveShell_VST_9.0.vst3<1750759606
,1494,,Kramer PIE Mono (Waves),WaveShell_VST_9.0.vst3<1751766740
,1495,,RCompressor Stereo (Waves),WaveShell_VST_9.0.vst3<1756078207
,1496,,InPhase Live Mono (Waves),WaveShell_VST_9.0.vst3<1768958331
,1497,,REQ 2 Mono (Waves),WaveShell_VST_9.0.vst3<1769623316
,1498,,VEQ3 Stereo (Waves),WaveShell_VST_9.0.vst3<1786236414
,1499,,AudioTrack Mono (Waves),WaveShell_VST_9.0.vst3<1800640403
,1500,,S360 Panner Mono/5.0 (Waves) (1->5ch),WaveShell_VST_9.0.vst3<180162396
,1501,,DeBreath Mono (Waves),WaveShell_VST_9.0.vst3<1804248460
,1502,,IR1 full Stereo (Waves),WaveShell_VST_9.0.vst3<1810375657
,1503,,Bass Rider Live Mono (Waves),WaveShell_VST_9.0.vst3<1813047961
,1504,,Doubler2 Stereo (Waves),WaveShell_VST_9.0.vst3<1815175507
,1505,,CLA Vocals Stereo (Waves),WaveShell_VST_9.0.vst3<1815941030
,1506,,JJP-Vocals Stereo (Waves),WaveShell_VST_9.0.vst3<1819580965
,1507,,Renaissance Axx Mono (Waves),WaveShell_VST_9.0.vst3<1820886384
,1508,,VEQ3 Mono (Waves),WaveShell_VST_9.0.vst3<1822020399
,1509,,Enigma Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1822042413
,1510,,W43 Mono (Waves),WaveShell_VST_9.0.vst3<1822484732
,1511,,X-Crackle Mono (Waves),WaveShell_VST_9.0.vst3<1836474988
,1512,,OneKnob Phatter Stereo (Waves),WaveShell_VST_9.0.vst3<1843943552
,1513,,Maserati ACG Stereo (Waves),WaveShell_VST_9.0.vst3<1852265240
,1514,,PuigChild 660 Mono (Waves),WaveShell_VST_9.0.vst3<1854274395
,1515,,L3 UltraMaximizer Stereo (Waves),WaveShell_VST_9.0.vst3<186163489
,1516,,REQ 4 Stereo (Waves),WaveShell_VST_9.0.vst3<1864324026
,1517,,Q3 Stereo (Waves),WaveShell_VST_9.0.vst3<1866088926
,1518,,PAZ- Frequency Mono (Waves),WaveShell_VST_9.0.vst3<1871592694
,1519,,CLA Bass Stereo (Waves),WaveShell_VST_9.0.vst3<1877125416
,1520,,IR360 eff discrete Stereo/5.0 (Waves) (2->5ch),WaveShell_VST_9.0.vst3<1884987255
,1521,,REQ 2 Stereo (Waves),WaveShell_VST_9.0.vst3<188681498
,1522,,EKramer VC Stereo (Waves),WaveShell_VST_9.0.vst3<1902416328
,1523,,PuigTec MEQ5 Stereo (Waves),WaveShell_VST_9.0.vst3<1905803969
,1524,,Dorrough360 5.0 (Waves) (5ch),WaveShell_VST_9.0.vst3<1906188709
,1525,,The Kings Microphones Stereo (Waves),WaveShell_VST_9.0.vst3<190811290
,1526,,SoundShifter Parametric Stereo (Waves),WaveShell_VST_9.0.vst3<1910360663
,1527,,C1 comp-gate Mono (Waves),WaveShell_VST_9.0.vst3<191070437
,1528,,Dorrough Stereo (Waves),WaveShell_VST_9.0.vst3<1917369710
,1529,,C360 5.1 (Waves) (6ch),WaveShell_VST_9.0.vst3<1917760366
,1530,,SSLChannel Mono (Waves),WaveShell_VST_9.0.vst3<1919131552
,1531,,Kramer Tape Stereo (Waves),WaveShell_VST_9.0.vst3<1930579615
,1532,,MaxxVolume Mono (Waves),WaveShell_VST_9.0.vst3<1938239203
,1533,,MaxxBass Mono (Waves),WaveShell_VST_9.0.vst3<1943544117
,1534,,LinEQ Broadband Mono (Waves),WaveShell_VST_9.0.vst3<1946232049
,1535,,MetaFlanger Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1953885631
,1536,,RChannel Stereo (Waves),WaveShell_VST_9.0.vst3<1960928030
,1537,,LoAir 5.0/5.1 (Waves) (5->6ch),WaveShell_VST_9.0.vst3<1963956404
,1538,,OneKnob Driver Stereo (Waves),WaveShell_VST_9.0.vst3<1969682057
,1539,,PAZ- Frequency Stereo (Waves),WaveShell_VST_9.0.vst3<1970987420
,1540,,MV360 5.0 (Waves) (5ch),WaveShell_VST_9.0.vst3<1982070341
,1541,,UltraPitch Shift Mono (Waves),WaveShell_VST_9.0.vst3<1982285526
,1542,,Dorrough Mono (Waves),WaveShell_VST_9.0.vst3<1988294228
,1543,,JJP-Strings-Keys Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<1988827912
,1544,,PAZ- Meters Mono (Waves),WaveShell_VST_9.0.vst3<1996567056
,1545,,InPhase LT Stereo (Waves),WaveShell_VST_9.0.vst3<1996904420
,1546,,JJP-Cymb-Perc Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<2001594613
,1547,,NLS Channel Mono (Waves),WaveShell_VST_9.0.vst3<201510099
,1548,,Z-Noise Stereo (Waves),WaveShell_VST_9.0.vst3<2028450371
,1549,,L3-LL Ultra Stereo (Waves),WaveShell_VST_9.0.vst3<203202682
,1550,,RDeEsser Stereo (Waves),WaveShell_VST_9.0.vst3<203238587
,1551,,CLA Drums Stereo (Waves),WaveShell_VST_9.0.vst3<2033047385
,1552,,Maserati DRM Stereo (Waves),WaveShell_VST_9.0.vst3<2033543914
,1553,,MetaFlanger Stereo (Waves),WaveShell_VST_9.0.vst3<2047259366
,1554,,GTR Amp 2Cab Mono (Waves),WaveShell_VST_9.0.vst3<2060298040
,1555,,OneKnob Louder Stereo (Waves),WaveShell_VST_9.0.vst3<2068714585
,1556,,Doppler Stereo (Waves),WaveShell_VST_9.0.vst3<2075822561
,1557,,SSLEQ Stereo (Waves),WaveShell_VST_9.0.vst3<2076071591
,1558,,GTR Stomp 6 Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<2097062672
,1559,,AudioTrack Stereo (Waves),WaveShell_VST_9.0.vst3<210053937
,1560,,Q10 Stereo (Waves),WaveShell_VST_9.0.vst3<2104435169
,1561,,EKramer FX Stereo (Waves),WaveShell_VST_9.0.vst3<2109724936
,1562,,Doubler4 Stereo (Waves),WaveShell_VST_9.0.vst3<2110847027
,1563,,DeEsser Mono (Waves),WaveShell_VST_9.0.vst3<2114649267
,1564,,RCompressor Mono (Waves),WaveShell_VST_9.0.vst3<2123677325
,1565,,C6-SideChain Stereo (Waves),WaveShell_VST_9.0.vst3<2141929705
,1566,,IR-L efficient Stereo (Waves),WaveShell_VST_9.0.vst3<217572345
,1567,,API-560 Stereo (Waves),WaveShell_VST_9.0.vst3<22088401
,1568,,C1 gate Stereo (Waves),WaveShell_VST_9.0.vst3<233448165
,1569,,EKramer BA Mono (Waves),WaveShell_VST_9.0.vst3<247286166
,1570,,C1 comp-sc Stereo (Waves),WaveShell_VST_9.0.vst3<248467731
,1571,,Maserati VX1 Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<261110826
,1572,,LinEQ Broadband Stereo (Waves),WaveShell_VST_9.0.vst3<267727207
,1573,,TransX Multi Mono (Waves),WaveShell_VST_9.0.vst3<270696387
,1574,,WavesTune Stereo (Waves),WaveShell_VST_9.0.vst3<288610214
,1575,,CLA Bass Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<295450949
,1576,,H-Delay Mono (Waves),WaveShell_VST_9.0.vst3<298230292
,1577,,GTR Amp Stereo (Waves),WaveShell_VST_9.0.vst3<302506146
,1578,,X-Noise Mono (Waves),WaveShell_VST_9.0.vst3<303885550
,1579,,RChannel Mono (Waves),WaveShell_VST_9.0.vst3<305449764
,1580,,GTR Amp Mono (Waves),WaveShell_VST_9.0.vst3<306114270
,1581,,L1 limiter Mono (Waves),WaveShell_VST_9.0.vst3<308315136
,1582,,M360 Manager 5.0/5.1 (Waves) (5->6ch),WaveShell_VST_9.0.vst3<310536604
,1583,,S360 Imager Stereo/5.0 (Waves) (2->5ch),WaveShell_VST_9.0.vst3<316756136
,1584,,CLA-3A Mono (Waves),WaveShell_VST_9.0.vst3<322210818
,1585,,Maserati ACG Mono/Stereo (Waves),WaveShell_VST_9.0.vst3<323537585
,1586,,L3-LL Multi Mono (Waves),WaveShell_VST_9.0.vst3<332725878
,1587,,Dorrough360 5.1 (Waves) (6ch),WaveShell_VST_9.0.vst3<344017476
,1588,,S360 Imager Mono/5.0 (Waves) (1->5ch),WaveShell_VST_9.0.vst3<35651568
,1589,,R360 Mono/5.1 (Waves) (1->6ch),WaveShell_VST_9.0.vst3<35952230
,1590,,WNS Stereo (Waves),WaveShell_VST_9.0.vst3<360709579
,1591,,MetaFlanger Mono (Waves),WaveShell_VST_9.0.vst3<361828060
,1592,,L3-LL Multi Stereo (Waves),WaveShell_VST_9.0.vst3<362021908
