REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-10-26 13:58:21

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,225,,FabFilter Pro-DS (FabFilter),FabFilter_Pro_DS.vst
,226,,Pro-DS (FabFilter),FabFilter_Pro_DS.vst3
,227,,FabFilter Pro-DS (Mono) (FabFilter),FabFilter_Pro_DS__Mono_.vst
,228,,FabFilter Pro-G (FabFilter),FabFilter_Pro_G.vst
,229,,Pro-G (FabFilter),FabFilter_Pro_G.vst3
,230,,FabFilter Pro-G (Mono) (FabFilter),FabFilter_Pro_G__Mono_.vst
,231,,FabFilter Pro-L (FabFilter),FabFilter_Pro_L.vst
,232,,FabFilter Pro-L (FabFilter),FabFilter_Pro_L.vst3
,233,,FabFilter Pro-L 2 (FabFilter),FabFilter_Pro_L_2.vst
,234,,Pro-L 2 (FabFilter),FabFilter_Pro_L_2.vst3
,235,,FabFilter Pro-L (Mono) (FabFilter),FabFilter_Pro_L__Mono_.vst
,236,,FabFilter Pro-MB (FabFilter),FabFilter_Pro_MB.vst
,237,,Pro-MB (FabFilter),FabFilter_Pro_MB.vst3
,238,,FabFilter Pro-MB (Mono) (FabFilter),FabFilter_Pro_MB__Mono_.vst
,239,,FabFilter Pro-Q 2 (FabFilter),FabFilter_Pro_Q_2.vst
,240,,FabFilter Pro-Q 2 (FabFilter),FabFilter_Pro_Q_2.vst3
,241,,FabFilter Pro-Q 2 (Mono) (FabFilter),FabFilter_Pro_Q_2__Mono_.vst
,242,,FabFilter Pro-Q 3 (FabFilter),FabFilter_Pro_Q_3.vst
,243,,Pro-Q 3 (FabFilter),FabFilter_Pro_Q_3.vst3
,244,,FabFilter Pro-R (FabFilter),FabFilter_Pro_R.vst
,245,,Pro-R (FabFilter),FabFilter_Pro_R.vst3
,246,,FabFilter Pro-R (Mono) (FabFilter),FabFilter_Pro_R__Mono_.vst
,247,,FabFilter Saturn (FabFilter),FabFilter_Saturn.vst
,248,,FabFilter Saturn (FabFilter),FabFilter_Saturn.vst3
